State,NextState,Accept,Return,Error,Stack,M
100,1000,0,0,1,0,type id const return } eof
110,1100,0,0,0,0,type id const return
111,1110,0,0,1,0,} eof
120,1200,0,0,0,0,type
121,1210,0,0,0,0,id
122,1220,0,0,0,0,const
123,1230,0,0,1,0,return
130,1300,0,0,1,0,type
140,1400,0,0,0,0,=
141,1410,0,0,0,0,(
142,1420,0,0,1,0,;
150,1500,0,0,0,0,type
151,1510,0,0,1,0,)
160,1600,0,0,0,0,","
161,1610,0,0,1,0,)
170,1700,0,0,1,0,return
180,1800,0,0,1,0,id
190,1900,0,0,1,0,const
200,2000,0,0,1,0,! true false id int (
210,2100,0,0,0,0,<
211,2110,0,0,0,0,>
212,2120,0,0,0,0,<=
213,2130,0,0,0,0,>=
214,2140,0,0,0,0,==
215,2150,0,0,0,0,!=
216,2160,0,0,1,0,) ;
220,2200,0,0,1,0,! true false id int (
230,2300,0,0,0,0,+
231,2310,0,0,0,0,-
232,2320,0,0,1,0,) ; < > <= >= == !=
240,2400,0,0,1,0,! true false id int (
250,2500,0,0,0,0,*
251,2510,0,0,0,0,/
252,2520,0,0,1,0,) ; < > <= >= == != + -
260,2600,0,0,1,0,! true false id int (
270,2700,0,0,0,0,&&
271,2710,0,0,0,0,||
272,2720,0,0,1,0,) ; < > <= >= == != + - * /
280,2800,0,0,0,0,!
281,2810,0,0,0,0,true
282,2820,0,0,0,0,false
283,2830,0,0,0,0,id
284,2840,0,0,0,0,int
285,2850,0,0,1,0,(
290,2900,0,0,0,0,(
291,2910,0,0,1,0,) ; < > <= >= == != + - * / && ||
300,3000,0,0,0,0,int
301,3010,0,0,1,0,)
310,3100,0,0,1,0,","
1000,110,0,0,1,0,type id const return } eof
1100,120,0,0,1,1,type id const return
1101,1102,1,0,1,0,;
1102,110,0,0,1,0,type id const return } eof
1110,,0,1,1,0,} eof
1200,130,0,0,1,0,type
1210,180,0,0,1,0,id
1220,190,0,0,1,0,const
1230,170,0,0,1,0,return
1300,1301,1,0,1,0,type
1301,1302,1,0,1,0,id
1302,140,0,0,1,0,= ( ;
1400,1401,1,0,1,0,=
1401,200,0,0,1,0,! true false id int (
1410,1411,1,0,1,0,(
1411,150,0,0,1,1,type )
1412,1413,1,0,1,0,)
1413,1414,1,0,1,0,{
1414,110,0,0,1,1,type id const return } eof
1415,,1,1,1,0,}
1420,,0,1,1,0,;
1500,1501,1,0,1,0,type
1501,1502,1,0,1,0,id
1502,160,0,0,1,0,", )"
1510,,0,1,1,0,)
1600,1601,1,0,1,0,","
1601,1602,1,0,1,0,type
1602,1603,1,0,1,0,id
1603,160,0,0,1,0,", )"
1610,,0,1,1,0,)
1700,1701,1,0,1,0,return
1701,200,0,0,1,0,! true false id int (
1800,1801,1,0,1,0,id
1801,1802,1,0,1,0,=
1802,200,0,0,1,0,! true false id int (
1900,1901,1,0,1,0,const
1901,130,0,0,1,0,type
2000,220,0,0,1,1,! true false id int (
2001,210,0,0,1,0,) ; < > <= >= == !=
2100,2101,1,0,1,0,<
2101,220,0,0,1,1,! true false id int (
2102,210,0,0,1,0,) ; < > <= >= == !=
2110,2111,1,0,1,0,>
2111,220,0,0,1,1,! true false id int (
2112,210,0,0,1,0,) ; < > <= >= == !=
